mysql-1  | 2025-04-27 20:32:00+00:00 [Note] [Entrypoint]: Entrypoint script for MySQL Server 5.7.44-1.el7 started.
mysql-1  | 2025-04-27 20:32:01+00:00 [Note] [Entrypoint]: Switching to dedicated user 'mysql'
mysql-1  | 2025-04-27 20:32:01+00:00 [Note] [Entrypoint]: Entrypoint script for MySQL Server 5.7.44-1.el7 started.
mysql-1  | 2025-04-27 20:32:01+00:00 [Note] [Entrypoint]: Initializing database files
mysql-1  | 2025-04-27T20:32:01.489701Z 0 [Warning] TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details).
mysql-1  | 2025-04-27T20:32:02.090376Z 0 [Warning] InnoDB: New log files created, LSN=45790
mysql-1  | 2025-04-27T20:32:02.195463Z 0 [Warning] InnoDB: Creating foreign key constraint system tables.
mysql-1  | 2025-04-27T20:32:02.247346Z 0 [Warning] No existing UUID has been found, so we assume that this is the first time that this server has been started. Generating a new UUID: acffc8e9-23a6-11f0-bc9c-cea6abe4aac1.
mysql-1  | 2025-04-27T20:32:02.262315Z 0 [Warning] Gtid table is not ready to be used. Table 'mysql.gtid_executed' cannot be opened.
mysql-1  | 2025-04-27T20:32:02.752423Z 0 [Warning] A deprecated TLS version TLSv1 is enabled. Please use TLSv1.2 or higher.
mysql-1  | 2025-04-27T20:32:02.752487Z 0 [Warning] A deprecated TLS version TLSv1.1 is enabled. Please use TLSv1.2 or higher.
mysql-1  | 2025-04-27T20:32:02.753461Z 0 [Warning] CA certificate ca.pem is self signed.
mysql-1  | 2025-04-27T20:32:02.804973Z 1 [Warning] root@localhost is created with an empty password ! Please consider switching off the --initialize-insecure option.
mysql-1  | 2025-04-27 20:32:10+00:00 [Note] [Entrypoint]: Database files initialized
mysql-1  | 2025-04-27 20:32:10+00:00 [Note] [Entrypoint]: Starting temporary server
mysql-1  | 2025-04-27 20:32:10+00:00 [Note] [Entrypoint]: Waiting for server startup
mysql-1  | 2025-04-27T20:32:11.424504Z 0 [Warning] TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details).
mysql-1  | 2025-04-27T20:32:11.449676Z 0 [Note] mysqld (mysqld 5.7.44) starting as process 126 ...
laravel-app-1  | AH00558: apache2: Could not reliably determine the server's fully qualified domain name, using 172.18.0.3. Set the 'ServerName' directive globally to suppress this message
laravel-app-1  | AH00558: apache2: Could not reliably determine the server's fully qualified domain name, using 172.18.0.3. Set the 'ServerName' directive globally to suppress this message
laravel-app-1  | [Sun Apr 27 20:32:01.516017 2025] [mpm_prefork:notice] [pid 1:tid 1] AH00163: Apache/2.4.62 (Debian) PHP/8.2.28 configured -- resuming normal operations
laravel-app-1  | [Sun Apr 27 20:32:01.516428 2025] [core:notice] [pid 1:tid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
mysql-1        | 2025-04-27T20:32:11.467402Z 0 [Note] InnoDB: PUNCH HOLE support available
mysql-1        | 2025-04-27T20:32:11.467494Z 0 [Note] InnoDB: Mutexes and rw_locks use GCC atomic builtins
mysql-1        | 2025-04-27T20:32:11.467505Z 0 [Note] InnoDB: Uses event mutexes
mysql-1        | 2025-04-27T20:32:11.467517Z 0 [Note] InnoDB: GCC builtin __atomic_thread_fence() is used for memory barrier
mysql-1        | 2025-04-27T20:32:11.467524Z 0 [Note] InnoDB: Compressed tables use zlib 1.2.13
mysql-1        | 2025-04-27T20:32:11.467529Z 0 [Note] InnoDB: Using Linux native AIO
mysql-1        | 2025-04-27T20:32:11.468054Z 0 [Note] InnoDB: Number of pools: 1
mysql-1        | 2025-04-27T20:32:11.468300Z 0 [Note] InnoDB: Using CPU crc32 instructions
mysql-1        | 2025-04-27T20:32:11.477541Z 0 [Note] InnoDB: Initializing buffer pool, total size = 128M, instances = 1, chunk size = 128M
mysql-1        | 2025-04-27T20:32:11.571872Z 0 [Note] InnoDB: Completed initialization of buffer pool
mysql-1        | 2025-04-27T20:32:11.587530Z 0 [Note] InnoDB: If the mysqld execution user is authorized, page cleaner thread priority can be changed. See the man page of setpriority().
mysql-1        | 2025-04-27T20:32:11.603784Z 0 [Note] InnoDB: Highest supported file format is Barracuda.
mysql-1        | 2025-04-27T20:32:11.651708Z 0 [Note] InnoDB: Creating shared tablespace for temporary tables
mysql-1        | 2025-04-27T20:32:11.651799Z 0 [Note] InnoDB: Setting file './ibtmp1' size to 12 MB. Physically writing the file full; Please wait ...
mysql-1        | 2025-04-27T20:32:11.740898Z 0 [Note] InnoDB: File './ibtmp1' size is now 12 MB.
mysql-1        | 2025-04-27T20:32:11.755783Z 0 [Note] InnoDB: 96 redo rollback segment(s) found. 96 redo rollback segment(s) are active.
mysql-1        | 2025-04-27T20:32:11.756239Z 0 [Note] InnoDB: 32 non-redo rollback segment(s) are active.
mysql-1        | 2025-04-27T20:32:11.760224Z 0 [Note] InnoDB: Waiting for purge to start
mysql-1        | 2025-04-27T20:32:11.815910Z 0 [Note] InnoDB: 5.7.44 started; log sequence number 2768771
mysql-1        | 2025-04-27T20:32:11.819412Z 0 [Note] Plugin 'FEDERATED' is disabled.
mysql-1        | 2025-04-27T20:32:11.832682Z 0 [Note] InnoDB: Loading buffer pool(s) from /var/lib/mysql/ib_buffer_pool
